ADVÉRBIO DE AFIRMAÇÃO
certainly, certamente
evidently, evidentemente
indeed, sem dúvida
obviously, obviamente
yes, sim
surely, certamente
indubitably, indubitavelmente

ADVÉRBIO DE DÚVIDA
maybe, possivelmente
perchance, porventura
perhaps, talvez
possibly, possivelmente

ADVÉRBIO DE FREQÜÊNCIA
daily, diariamente
monthly, mensalmente
occasionally, de quando em quando
often, freqüentemente
yearly, anualmente
rarely, raramente
weekly, semanalmente

ADVÉRBIO DE INTENSIDADE
completely, completamente
enough, bastante
entirely, inteiramente
much, muito
nearly, quase
pretty, bastante
wholly, inteiramente
quite, completamente
rather,bastante
slightly, ligeiramente
equally, igualmente
exactly, exatamente
greatly, grandemente
very, muito
sufficiently, suficientemente
throughly, completamente
too, demasiadamente
largely, grandemente
little, pouco
merely, meramente
utterly, totalmente

ADVÉRBIO DE LUGAR
above, em cima
anywhere, em qualquer parte
around, em redor
below, abaixo
evrywhere, em toda a parte
far, longe
here, aqui
hither, para cá
near, perto
nowhere,em parte alguma
there, lá
thither, para lá
where, onde
yonder, além

ADVÉRBIO DE MODO
actively, ativamente
amiss, erroneamente
badly, mal
boldly, audaciosamente
faithfully, fielmente
fast, rapidamente
fiercely, ferozmente
gladly, alegremente
ill, mal
puposely, intencionalmente
quickly, rapidamente
simply, simplesmente
steadily, firmemente
truly,verdadeiramente
well, bem

ADVÉRBIO DE NEGAÇÃO
no, not, não

ADVÉRBIO DE ORDEM
firstly, primeiramente
secondly, em segundo lugar
thirdly, em terceiro lugar

ADVÉRBIO DE TEMPO
already, já
always, sempre
early, cedo
formerly, outrora
hereafter, doravante
immediately, imediatamente
late, tarde
lately, ultimamente
never, nunca
now, agora
presently, dentro em pouco
shortly, em breve
soon, brevemente
still, ainda
then, então
today, hoje
tomorrow, amanhã
when, quando
yesterday, ontem

ADVÉRBIO INTERROGATIVOS
how, como
when, quando
where, onde
why, por que
