
a2ps.rb                         :_: "Any-to-PostScript filter"

a52dec.rb                       :_: "Library for decoding ATSC A/52 streams (AKA 'AC-3')"

aacgain.rb                      :_: "AAC-supporting version of mp3gain"

aalib.rb                        :_: "Portable ASCII art graphics library"

aamath.rb                       :_: "Renders mathematical expressions as ASCII art"

aap.rb                          :_: "make-like tool to download, build, and install software"

aardvark_shell_utils.rb         :_: "Utilities to aid shell scripts or command-line users"

abcde.rb                        :_: "Better CD Encoder"

abcl.rb                         :_: "Armed Bear Common Lisp: a full implementation of Common Lisp"

abcm2ps.rb                      :_: "ABC music notation software"

abcmidi.rb                      :_: "Converts abc music notation files to MIDI files"

abduco.rb                       :_: "Provides session management: i.e. separate programs from terminals"

abi-compliance-checker.rb       :_: "Check binary and source compatibility for C/C++"

abnfgen.rb                      :_: "Quickly generate random documents that match an ABFN grammar"

abook.rb                        :_: "Address book with mutt support"

ace.rb                          :_: "ADAPTIVE Communication Environment: OO network programming in C++"

aces_container.rb               :_: "Reference implementation of SMPTE ST2065-4"

ack.rb                          :_: "Search tool like grep, but optimized for programmers"

acme.rb                         :_: "Crossassembler for multiple environments"

acmetool.rb                     :_: "Automatic certificate acquisition tool for ACME (Let's Encrypt)"

acpica.rb                       :_: "OS-independent implementation of the ACPI specification"

activemq-cpp.rb                 :_: "C++ API for message brokers such as Apache ActiveMQ"

activemq.rb                     :_: "Apache ActiveMQ: powerful open source messaging server"

admesh.rb                       :_: "Processes triangulated solid meshes"

adns.rb                         :_: "C/C++ resolver library and DNS resolver utilities"

adplug.rb                       :_: "Free, hardware independent AdLib sound player library"

advancecomp.rb                  :_: "Recompression utilities for .PNG, .MNG, .ZIP, and .GZ files"

aescrypt-packetizer.rb          :_: "Encrypt and decrypt using 256-bit AES encryption"

aescrypt.rb                     :_: "Program for encryption/decryption"

aespipe.rb                      :_: "AES encryption or decryption for pipes"

afflib.rb                       :_: "Advanced Forensic Format"

afio.rb                         :_: "Creates cpio-format archives"

afl-fuzz.rb                     :_: "American fuzzy lop: Security-oriented fuzzer"

afsctool.rb                     :_: "Utility for manipulating HFS+ compressed files"

aften.rb                        :_: "Audio encoder which generates ATSC A/52 compressed audio streams"

agda.rb                         :_: "Dependently typed functional programming language"

agedu.rb                        :_: "Unix utility for tracking down wasted disk space"

aggregate.rb                    :_: "Optimizes lists of prefixes to reduce list lengths"

aha.rb                          :_: "ANSI HTML adapter"

ahcpd.rb                        :_: "Autoconfiguration protocol for IPv6 and IPv6/IPv4 networks"

aiccu.rb                        :_: "Automatic IPv6 Connectivity Client Utility"

aide.rb                         :_: "File and directory integrity checker"

aircrack-ng.rb                  :_: "Next-generation aircrack with lots of new features"

airspy.rb                       :_: "The usemode driver and associated tools for airspy"

akka.rb                         :_: "Toolkit for building concurrent, distributed, and fault tolerant apps"

alac.rb                         :_: "Basic decoder for Apple Lossless Audio Codec files (ALAC)"

aldo.rb                         :_: "Morse code learning tool released under GPL"

algernon.rb                     :_: "HTTP/2 web server with built-in support for Lua and templates"

algol68g.rb                     :_: "Algol 68 compiler-interpreter"

align.rb                        :_: "Text column alignment filter"

allegro.rb                      :_: "C/C++ multimedia library for cross-platform game development"

alot.rb                         :_: "Text mode MUA using notmuch mail"

alpine.rb                       :_: "News and email agent"

alure.rb                        :_: "Manage common tasks with OpenAL applications"

amap.rb                         :_: "Perform application protocol detection"

amazon-ecs-cli.rb               :_: "CLI for Amazon ECS to manage clusters and tasks for development."

amdatu-bootstrap.rb             :_: "Bootstrapping OSGi development"

ammonite-repl.rb                :_: "Ammonite is a cleanroom re-implementation of the Scala REPL"

amqp-cpp.rb                     :_: "C++ library for communicating with a RabbitMQ message broker"

amtterm.rb                      :_: "Serial-over-LAN (sol) client for Intel AMT"

analog.rb                       :_: "Logfile analyzer"

android-ndk.rb                  :_: "Android native-code language toolset"

android-platform-tools.rb       :_: "Tools for the Android SDK"

android-sdk.rb                  :_: "Android API libraries and developer tools"

anjuta.rb                       :_: "GNOME Integrated Development Environment"

ansible-cmdb.rb                 :_: "Generates static HTML overview page from Ansible facts"

ansible.rb                      :_: "Automate deployment, configuration, and upgrading"

ansifilter.rb                   :_: "Strip or convert ANSI codes into HTML, (La)Tex, RTF, or BBCode"

ansiweather.rb                  :_: "Weather in your terminal, with ANSI colors and Unicode symbols"

ant-contrib.rb                  :_: "Collection of tasks for Apache Ant"

ant.rb                          :_: "Java build tool"

antigen.rb                      :_: "Plugin manager for zsh, inspired by oh-my-zsh and vundle."

antiword.rb                     :_: "Utility to read Word (.doc) files"

antlr.rb                        :_: "ANTLR: ANother Tool for Language Recognition"

anttweakbar.rb                  :_: "C/C++ library for adding GUIs to OpenGL apps"

aoeui.rb                        :_: "Lightweight text editor optimized for Dvorak and QWERTY keyboards"

apache-archiva.rb               :_: "The Build Artifact Repository Manager"

apache-brooklyn-cli.rb          :_: "Apache Brooklyn command-line interface"

apache-drill.rb                 :_: "Schema-free SQL query engine for Hadoop and NoSQL"

apache-flink.rb                 :_: "Scalable batch and stream data processing"

apache-forrest.rb               :_: "Publishing framework providing multiple output formats"

apache-geode.rb                 :_: "In-memory Data Grid for fast transactional data processing"

apache-opennlp.rb               :_: "Machine learning toolkit for processing natural language text"

apache-spark.rb                 :_: "Engine for large-scale data processing"

apache-zeppelin.rb              :_: "Web-based notebook that enables interactive data analytics"

apachetop.rb                    :_: "Top-like display of Apache log"

apcupsd.rb                      :_: "Daemon for controlling APC UPSes"

ape.rb                          :_: "Ajax Push Engine"

apel.rb                         :_: "Emacs Lisp library to help write portable Emacs programs"

apg.rb                          :_: "Tool set for random password generation"

apgdiff.rb                      :_: "Another PostgreSQL diff tool"

apib.rb                         :_: "HTTP performance-testing tool"

apktool.rb                      :_: "Tool for reverse engineering 3rd party, closed, binary Android apps"

apngasm.rb                      :_: "Next generation of apngasm, the APNG assembler"

apollo.rb                       :_: "Multi-protocol messaging broker based on ActiveMQ"

app-engine-go-32.rb             :_: "Google App Engine SDK for Go (i386)"

app-engine-go-64.rb             :_: "Google App Engine SDK for Go (AMD64)"

app-engine-java.rb              :_: "Google App Engine for Java"

app-engine-python.rb            :_: "Google App Engine"

apparix.rb                      :_: "File system navigation via bookmarking directories"

appledoc.rb                     :_: "Objective-C API documentation generator"

appscale-tools.rb               :_: "Command-line tools for working with AppScale"

apr-util.rb                     :_: "Companion library to apr, the Apache Portable Runtime library"

apr.rb                          :_: "Apache Portable Runtime library"

apt-dater.rb                    :_: "Manage package updates on remote hosts using SSH"

aptly.rb                        :_: "Swiss army knife for Debian repository management"

aqbanking.rb                    :_: "Generic online banking interface"

arabica.rb                      :_: "XML toolkit written in C++"

arangodb.rb                     :_: "The Multi-Model NoSQL Database."

archey.rb                       :_: "Graphical system information display for macOS"

archi-steam-farm.rb             :_: "ASF is a C# application that allows you to farm steam cards"

archivemail.rb                  :_: "Tool for archiving and compressing old email in mailboxes"

argon2.rb                       :_: "Password hashing library and CLI utility"

argp-standalone.rb              :_: "Standalone version of arguments parsing functions from GLIBC"

